Song Title,Artist,Lyrics,Emotion Label
Re:Re:,asian kung-fu generation,"13 ContributorsTranslationsEnglishRomanizationRe:Re: Lyrics[ASIAN KUNG-FU GENERATION「Re:Re:」歌詞]  [Verse 1] 君を待った 僕は待った 途切れない明日も過ぎて行って 立ち止まって振り返って とめどない今日を嘆き合った 記憶だって 永遠になんて 残らないものとおもい知って 僕はずっと掻きむしって 心の隅っこで泣いた  [Chorus] そしてどうかなくさないでよって 高架下、過ぎる日々を 後悔してんだよって そう言い逃したあの日  [Verse 2] 繋ぎ合った時もあった ほどけない感情持ち寄って それが僕のすべてだった それもたった今 失くしたんだ 形だって 時が経って 変わりゆくものとおもい知って 僕はずっと掻きむしって 塞がれた今日を恨んだ You might also like[Chorus] そしてどうかなくさないでよって 高架下、過ぎる日々を 後悔してんだよって そう言い逃したあの日  [Instrumental Bridge]  [Outro] 君を待った 僕は待った 途切れない明日も過ぎて行って 僕は今日も掻きむしって 忘れない傷をつけているんだよ Woah woah 君じゃないとさ4Embed",Sadness
遥か彼方 (Haruka Kanata),asian kung-fu generation,10 ContributorsTranslationsEnglishRomanization遥か彼方 (Haruka Kanata) Lyrics[ASIAN KUNG-FU GENERATION「遥か彼方」歌詞]  [バース] 踏み込むぜアクセル 駆け引きは無いさ、そうだよ 夜をぬける ねじ込むさ最後に 差し引きゼロさ、そうだよ 日々を削る  [プリコーラス] 心をそっと開いて ギュッと引き寄せたら 届くよきっと伝うよもっと さあ  [コーラス] 生き急いでしぼり取って もつれる足だけで前より ずっとそう、遠くへ 奪い取って掴んだって 君じゃないなら 意味はないのさ だからもっと、もっと、もっと遥か彼方  [バース] 踏み込むぜアクセル 駆け引きは無いさ、そうだよ 夜をぬける ねじ込むさ最後に 差し引きゼロさ、そうだよ 日々を削る You might also like[プリコーラス] 心をそっと開いて ギュッと引き寄せたら 届くよきっと伝うよもっと さあ  [コーラス] 生き急いで搾り取って もつれる足だけで前より ずっとそう、遠くへ 奪い取って掴んだって 君じゃないなら 意味はないさ だから、…遥か彼方  [ブリッジ] いつわる事に慣れた君の世界を 塗り潰すのさ、白く 白く1Embed,Disgust
アフターダーク (After Dark),asian kung-fu generation,8 ContributorsTranslationsEnglishRomanizationアフターダーク (After Dark) Lyrics[ASIAN KUNG-FU GENERATIONの「アフターダーク」歌詞]  背中の影が伸び切るその合間に逃げる 剥がれ落ちた羽にも気付かずに飛ぶ  街角 甘い匂い 流涎 遠く向こうから 何処かで聞いたような鳴き声  夜風が運ぶ淡い希望を乗せて 何処まで行けるか それを拒むように世界は揺れて全てを奪い去る 夢なら覚めた だけど僕らはまだ何もしていない 進め  真昼の怠惰を断ち切るような素振りで浮かぶ 生まれ落ちた雲まで見下ろすように飛ぶ  街角 血の匂い 流線 遠く向こうから 何処かで聞いたような泣き声  ドロドロ流れる深く赤い月が現れて振られる采 出鱈目な日々を断ち切りたい 何食わぬ顔で終わらぬように You might also like夜風が運ぶ淡い希望を乗せて 何処まで行けるか それを拒むように世界は揺れて全てを奪い去る 夢なら覚めた だけど僕らはまだ何もしていない 進めEmbed,Sadness
リライト (Rewrite),asian kung-fu generation,8 ContributorsTranslationsEnglishRomanizationリライト (Rewrite) Lyrics[ASIAN KUNG-FU GENERATION「リライト」歌詞]  軋んだ想いを吐き出したいのは 存在の証明が他にないから 掴んだはずの僕の未来は 「尊厳」と「自由」で矛盾してるよ  歪んだ残像を消し去りたいのは 自分の限界をそこに見るから 自意識過剰な僕の窓には 去年のカレンダー、日付がないよ  消してリライトして くだらない超幻想 忘れられぬ存在感を  起死回生 リライトして 意味のない想像も君を成す原動力 全身全霊をくれよ  芽生えてた感情切って泣いて 所詮ただ凡庸知って泣いて  腐った心を、薄汚い嘘を消して リライトして くだらない超幻想 忘られぬ存在感を You might also like起死回生 リライトして 意味のない想像も君を成す原動力 全身全霊をくれよEmbed,Disgust
"転がる岩、君に朝が降る (Rock ‘n’ Roll Morning Light Falls on You)",asian kung-fu generation,"5 ContributorsTranslationsEnglish転がる岩、君に朝が降る (Rock ‘n’ Roll Morning Light Falls on You) Lyrics[ASIAN KUNG-FU GENERATION「転がる岩、君に朝が降る」歌詞]  [Verse 1] 出来れば世界を僕は塗り変えたい 戦争をなくすような大逸れたことじゃない だけどちょっと それもあるよな 俳優や映画スターには成れない それどころか 君の前でさえも上手に笑えない そんな僕に術はないよな 嗚呼  [Chorus] 何を間違った? それさえもわからないんだ ローリング ローリング 初めから持ってないのに胸が痛んだ 僕らはきっとこの先も 心絡まって ローリング ローリング 凍てつく地面を転がるように走り出した  [Verse 2] 理由もないのに何だか悲しい 泣けやしないから 余計に救いがない そんな夜を温めるように歌うんだ You might also like[Chorus] 岩は転がって 僕たちを 何処かに連れて行くように、ように 固い地面を分けて命が芽生えた あの丘を越えたその先は 光り輝いたように、ように 君の孤独も全て暴き出す朝だ  [Bridge] 赤い、赤い小さな車は君を乗せて 遠く向こうの角を曲がって 此処からは見えなくなった [Chorus] 何をなくした? それさえもわからないんだ ローリング ローリング 初めから持ってないのに胸が痛んだ 僕らはきっとこの先も 心絡まって ローリング ローリング 凍てつく世界を転がるように走り出したEmbed",Sadness
ソラニン (Soranin),asian kung-fu generation,5 Contributorsソラニン (Soranin) Lyrics[ASIAN KUNG-FU GENERATIONの「ソラニン」歌詞] 思い違いは空のかなた さよならだけの人生か ほんの少しの未来は見えたのに さよならなんだ 昔　住んでた小さな部屋は 今は他人が住んでんだ 君に言われた　ひどい言葉も 無駄な気がした毎日も あの時こうしていれば　あの日に戻れれば あの頃の僕にはもう　戻れないよ たとえばゆるい幸せがだらっと続いたとする きっと悪い種が芽を出して もう　さよならなんだ 寒い冬の冷えた缶コーヒーと 虹色の長いマフラーと 小走りで路地裏を抜けて 思い出してみる たとえばゆるい幸せがだらっと続いたとする きっと悪い種が芽を出して もう　さよならなんだ You might also likeさよなら　それもいいさ どこかで元気でやれよ 僕もどーにかやるさ そうするよEmbed,Sadness
サイレン (Siren),asian kung-fu generation,3 ContributorsTranslationsBahasa IndonesiaEnglishサイレン (Siren) Lyrics[ASIAN KUNG-FU GENERATIONの「サイレン」歌詞]  掴んだ細い腕 よぎる蜉蝣 綺麗な羽を僕にくれよ  潤んだ遠い目 夜霧、陽炎のように揺らいで消える君を  溶け落ちる心そのままで 冷めやらぬ白い衝動痛いよ 駆け抜ける街の片隅で鳴り止まぬ君のサイレン 開いてよ  千年先を想い描けないけど 一寸先を刻むことで始まる僅かな願い  溶け残る心そのままで 癒えきらぬ傷塞いで痛いよ 駆け抜ける街の片隅で響きなる君のサイレン 開いてよ  存在証明を鳴らせ サイレンYou might also likeEmbed,Sadness
Dororo,asian kung-fu generation,3 ContributorsTranslationsASIAN KUNG-FU GENERATION - Dororo (English Translation)RomanizationDororo Lyrics[ASIAN KUNG-FU GENERATION「Dororo」歌詞]  この世界を裏切って 腹のなかで蠢いている ハラワタ 食い破って 赤黒く漲っている  焼けた皮膚を破るまで  滾る闇の奥に光が在って 遠く声を確かめ合って 濡れた指先で撫でるように いつか君に触って  人間の残骸 喧噪 ダイナマイト 愛の欠乏を埋めるマネー 応答はない 勝敗もないが 随分 張り込んでいる  焼けた皮膚を破るまで  滾る闇の奥に光が在って 遠く声を確かめ合って 濡れた指先で撫でるように いつか君に触ってみせるよ wow みせるよ oh wowYou might also likeEmbed,Anticipation
新世紀のラブソング (Love song of new century),asian kung-fu generation,4 ContributorsTranslationsEnglish新世紀のラブソング (Love song of new century) Lyrics[ASIAN KUNG-FU GENERATIONの「新世紀のラブソング」歌詞]  あの日　僕がセカンドフライを上手に捕ったとして それで今も抱えている後悔はなくなるのかな 十五年たってもまだ捨てられない僕がいて 生活は続く　生活は続く  夕方のニュースで何処かの誰かが亡くなって 涙ぐむキャスター それでまた明日 そんなふうには取り上げられずに僕らは死ぬとして 世界は続く 何もなかったように  ほら 君の涙 始まれ21st 恵みの雨だ 僕たちの新世紀  あの日 君が心の奥底を静かに飲み込んでいれば 誰も傷つかずに丸く収まったかな ボロボロになっても僕らは懲りずに恋をして 生活は続く　生活は続く  朝方のニュースでビルに飛行機が突っ込んで 目を伏せるキャスター　そんな日もあった 愛と正義を武器に僕らは奪い合って 世界は続く 何もなかったように You might also likeほら 君の涙 始まれ21st 恵みの雨だ 僕たちの新世紀  覚めない夢とガラクタ商品 背負い込む僕らのアイデア 冴えない詩の如何様ストーリー それを鳴らす それを鳴らす  変わりない日々をひたすら消費 縫い繋ぐ僕らのアイデア 冴えない詩の如何様ストーリー それを鳴らす それを鳴らす  確かな言葉が見当たらない 言い当てる言葉も見当たらない それでも僕らは愛と呼んで 不確かな想いを愛と呼んだ  本当のことは誰も知らない あなたのすべてを僕は知らない それでも僕らは愛と呼んで 不確かな想いを愛と呼んだんだ  息を吸って 生命を食べて 排泄するだけの猿じゃないと言えるかい? ほら 君の涙 さようなら旧石器 恵みの雨だ 僕たちの新世紀  ほら 君の涙 さようなら旧石器 恵みの雨だ 僕たちの新世紀Embed,Sadness
季節は次々死んでいく (Seasons Die One After Another),amazarashi,7 Contributors季節は次々死んでいく (Seasons Die One After Another) Lyrics[​amazarashi「季節は次々死んでいく」歌詞]  [Verse 1] 季節は次々死んでいく 絶命の声が風になる 色めく街の　酔えない男 月を見上げるのはここじゃ無粋 泥に足もつれる生活に 雨はアルコールの味がした アパシーな目で　彷徨う街で 挙動不審のイノセント　駅前にて  [Pre-Chorus] 僕が僕と呼ぶには不確かな 半透明な影が生きてる風だ 雨に歌えば　雲は割れるか 賑やかな夏の干からびた命だ  [Chorus] 拝啓　忌まわしき過去に告ぐ 絶縁の詩 最低な日々の　最悪な夢の 残骸を捨てては行けず ここで息絶えようと 後世　花は咲き君に伝う　変遷の詩 苦悩にまみれて　嘆き悲しみ それでも途絶えぬ歌に 陽は射さずとも  [Verse 2] 明日は次々死んでいく 急いても追いつけず過去になる 生き急げ僕ら 灯る火はせつな 生きる意味などは後からつく  [Pre-Chorus] 君が君でいるには不確かな 不安定な自我が 君を嫌おうと せめて歌えば　闇は晴れるか 根腐れた夢に預かった命だ You might also like[Chorus] 拝啓　忌まわしき過去に告ぐ　絶縁の詩 最低な日々の　最悪な夢の 残骸を捨てては行けず ここで息絶えようと 後世　花は咲き君に伝う　変遷の詩 苦悩にまみれて　嘆き悲しみ それでも途絶えぬ歌に 陽は射さずとも  [Verse 3] 疲れた顔に足を引きずって 照り返す夕日に顔をしかめて 行こうか　戻ろうか 悩みはするけど しばらくすれば　歩き出す背中 そうだ行かねばならぬ 何はなくとも生きて行くのだ 僕らは どうせ拾った命だ ここに置いてくよ なけなしの  [Chorus] 拝啓　今は亡き過去を想う　望郷の詩 最低な日々が　最悪な夢が 始まりだったと思えば 随分遠くだ どうせ花は散り　輪廻の輪に還る命 苦悩にまみれて　嘆き悲しみ それでも途絶えぬ歌に　陽は射さずとも  [Outro] 季節は次々生き返るEmbed,Sadness
さよならごっこ (Play Goodbye),amazarashi,4 Contributorsさよならごっこ (Play Goodbye) Lyrics[​amazarashi「さよならごっこ」歌詞]  [Verse 1] 憂鬱が風に散らばり 吹きだまって影になる 僕らの足音は 無情を饒舌に諭す 君の瞳の深さを 覗き見て狼狽える 望みなどあったでしょうか この行く先には  [Pre-Chorus] おどけて笑うのは この道が暗いから 明りを灯すのに 僕がいるでしょう  [Chorus] さよならごっこは慣れたもんさ でも手を振ったら泣いちゃった 僕らの真っ赤な悲しみが 暮れる 暮れる そして夜が来る 当たり前にやってくる明日なら 「生きたい」なんて言わなかった よせばいいのに夢見てしまう 未来 未来 君のせいなんだ  [Verse 2] 成し遂げねばならないこと 三日月にぶら下げて 彷徨う夜道にすら 安堵は君の背に明るい 信じるには時間がいる ましてや他人だから それでも道が同じなら 離れる理由もない You might also like[Pre-Chorus] 全てが終わったら 分かち合う為に 誰かがいるでしょう 僕がいるでしょう  [Chorus] さよならごっこは慣れたもんさ でも手を振ったら泣いちゃった 僕らの真っ赤な悲しみが 暮れる 暮れる そして夜が来る はじめからそこにある愛情なら 確かめ合う事はなかった 奇遇にも連れ合う縁だから 触れる 触れる 心の襟元  [Verse 3] 辛さなら背負えるから 痛みなら分け合えるから でも君のさだめまでは 肩代わりできなかった 別れは何度目でも 相変わらず悲しいから 別れる振りをするんだよ さよならの遊びだよ  [Bridge] いつか必ず会えるって 自分を騙す遊びだよ (いつか必ず会えるって) [Chorus] さよならごっこは慣れたもんさ でも手を振ったら泣いちゃった 僕らの真っ赤な嘘だけが 濡れる 濡れる そして朝が来る 離れ離れになるってことは 一度は一つになれたかなあ 諦めと呼べば後ろめたい さだめ さだめ そう君は呼んだEmbed,Sadness
僕が死のうと思ったのは (Boku Ga Shinouto Omottanowa),amazarashi,5 Contributors僕が死のうと思ったのは (Boku Ga Shinouto Omottanowa) Lyrics僕が死のうと思ったのは　ウミネコが桟橋で鳴いたから 波の随意に浮かんで消える　過去も啄ばんで飛んでいけ 僕が死のうと思ったのは　誕生日に杏の花が咲いたから その木漏れ日でうたた寝したら　虫の死骸と土になれるかな  薄荷飴　漁港の灯台　錆びたアーチ橋　捨てた自転車 木造の駅のストーブの前で　どこにも旅立てない心 今日はまるで昨日みたいだ　明日を変えるなら今日を変えなきゃ 分かってる　分かってる　けれど  僕が死のうと思ったのは　心が空っぽになったから 満たされないと泣いているのは　きっと満たされたいと願うから  僕が死のうと思ったのは　靴紐が解けたから 結びなおすのは苦手なんだよ　人との繋がりもまた然り 僕が死のうと思ったのは　少年が僕を見つめていたから ベッドの上で土下座してるよ　あの日の僕にごめんなさいと  パソコンの薄明かり　上階の部屋の生活音 インターフォンのチャイムの音　耳を塞ぐ鳥かごの少年 見えない敵と戦ってる　六畳一間のドンキホーテ ゴールはどうせ醜いものさ  僕が死のうと思ったのは　冷たい人と言われたから 愛されたいと泣いているのは　人の温もりを知ってしまったから You might also like僕が死のうと思ったのは　あなたが綺麗に笑うから 死ぬことばかり考えてしまうのは　きっと生きる事に真面目すぎるから  僕が死のうと思ったのは　まだあなたに出会ってなかったから あなたのような人が生まれた　世界を少し好きになったよ  あなたのような人が生きてる　世界に少し期待するよ1Embed,Sadness
